Frame, Frame Full, Scene, UI
347, 0.016658, 0.001507, 9e-05
348, 0.016696, 0.001501, 9.2e-05
349, 0.016581, 0.001509, 9.7e-05
350, 0.016537, 0.001501, 9.4e-05
351, 0.016544, 0.00151, 8.9e-05
352, 0.016719, 0.001536, 9.6e-05
353, 0.016477, 0.001564, 8.9e-05
354, 0.016734, 0.001541, 9.8e-05
355, 0.016536, 0.001496, 8.9e-05
356, 0.016905, 0.001499, 9.4e-05
357, 0.016669, 0.001594, 9.4e-05
358, 0.016638, 0.001508, 9.5e-05
359, 0.01649, 0.001506, 8.9e-05
360, 0.016644, 0.001498, 9.1e-05
361, 0.016539, 0.001505, 9.3e-05
362, 0.016956, 0.001586, 9.3e-05
363, 0.016275, 0.001567, 9.2e-05
364, 0.016562, 0.001499, 9.2e-05
365, 0.016868, 0.001528, 9.3e-05
366, 0.016588, 0.001508, 9.2e-05
367, 0.016605, 0.001503, 8.9e-05
368, 0.016701, 0.0015, 9.3e-05
369, 0.016886, 0.001506, 0.00012
370, 0.016366, 0.001524, 0.000102
371, 0.016737, 0.001511, 9.4e-05
372, 0.016548, 0.00151, 9.5e-05
373, 0.016493, 0.001497, 9.6e-05
374, 0.016606, 0.001505, 9.4e-05
375, 0.016686, 0.001506, 9.3e-05
376, 0.016562, 0.001542, 9.5e-05
377, 0.016618, 0.001502, 9.1e-05
378, 0.016697, 0.001502, 9.5e-05
379, 0.016531, 0.001503, 8.9e-05
380, 0.016498, 0.001552, 0.000101
381, 0.016677, 0.001494, 9.8e-05
382, 0.016711, 0.001507, 9.6e-05
383, 0.016507, 0.001507, 9.2e-05
384, 0.016739, 0.001507, 9.4e-05
385, 0.016673, 0.001507, 9.2e-05
386, 0.016443, 0.001504, 9.3e-05
387, 0.016718, 0.00154, 8.7e-05
388, 0.016616, 0.001504, 9.5e-05
389, 0.016691, 0.001503, 9e-05
390, 0.01666, 0.001511, 9.3e-05
391, 0.016598, 0.001505, 9.1e-05
392, 0.016659, 0.00151, 9.9e-05
393, 0.016656, 0.001501, 9e-05
394, 0.016684, 0.001653, 0.000105
395, 0.016471, 0.001502, 9.1e-05
396, 0.01676, 0.001504, 9.2e-05
397, 0.016505, 0.001505, 9.1e-05
398, 0.016557, 0.001501, 9.2e-05
399, 0.016806, 0.001496, 9.4e-05
400, 0.016584, 0.001539, 9.4e-05
401, 0.016774, 0.001506, 9.3e-05
402, 0.017067, 0.001498, 0.00011
403, 0.016141, 0.0015, 8.8e-05
404, 0.016664, 0.001507, 9.6e-05
405, 0.016546, 0.001497, 9.2e-05
406, 0.016834, 0.001505, 9.3e-05
407, 0.016345, 0.001533, 9e-05
408, 0.017076, 0.00154, 0.000105
409, 0.016344, 0.001503, 9.2e-05
410, 0.016502, 0.001529, 9.2e-05
411, 0.016613, 0.001511, 9e-05
412, 0.016694, 0.001502, 9.4e-05
413, 0.016596, 0.001499, 8.9e-05
414, 0.016755, 0.001509, 9.3e-05
415, 0.016754, 0.001556, 9.6e-05
416, 0.016435, 0.001511, 9.2e-05
417, 0.016448, 0.001507, 9.1e-05
418, 0.016813, 0.001508, 9.5e-05
419, 0.016413, 0.001504, 9e-05
420, 0.016861, 0.001499, 9.5e-05
421, 0.016613, 0.001499, 9.1e-05
422, 0.016514, 0.001541, 9.6e-05
423, 0.016568, 0.001501, 9e-05
424, 0.016396, 0.001499, 9.5e-05
425, 0.016566, 0.001504, 9.1e-05
426, 0.016695, 0.001538, 9.3e-05
427, 0.016505, 0.001504, 8.8e-05
428, 0.016963, 0.001506, 9.3e-05
429, 0.016357, 0.00151, 8.9e-05
430, 0.016775, 0.001497, 9.2e-05
431, 0.016558, 0.001507, 9.3e-05
432, 0.016824, 0.0015, 9.3e-05
433, 0.016735, 0.001494, 9.9e-05
434, 0.016324, 0.001501, 9.4e-05
435, 0.017058, 0.001507, 8.9e-05
436, 0.016278, 0.001497, 9.4e-05
437, 0.016769, 0.0015, 8.9e-05
438, 0.016467, 0.00156, 9.2e-05
439, 0.01667, 0.00155, 9.7e-05
440, 0.016773, 0.001503, 9.3e-05
441, 0.016735, 0.001499, 9.5e-05
442, 0.016527, 0.001501, 9.4e-05
443, 0.016527, 0.001504, 9.9e-05
444, 0.01683, 0.001505, 9.3e-05
445, 0.016629, 0.001508, 0.000103
446, 0.016482, 0.001579, 9.2e-05
447, 0.016758, 0.001513, 9.4e-05
448, 0.016838, 0.001499, 9.2e-05
449, 0.016342, 0.001506, 9.5e-05
450, 0.01659, 0.001511, 9.6e-05
451, 0.016714, 0.001506, 9.1e-05
452, 0.016786, 0.001505, 9.4e-05
453, 0.01646, 0.001498, 8.8e-05
454, 0.016923, 0.001523, 9.8e-05
455, 0.016412, 0.001499, 8.9e-05
456, 0.0169, 0.001573, 9.4e-05
457, 0.016525, 0.002082, 0.000115
458, 0.01664, 0.001503, 9.5e-05
459, 0.016488, 0.001506, 9e-05
460, 0.01677, 0.0015, 9.2e-05
461, 0.016685, 0.001503, 9.2e-05
462, 0.016369, 0.001489, 0.0001
463, 0.016657, 0.001499, 9e-05
464, 0.016548, 0.001498, 9.3e-05
465, 0.016742, 0.001516, 9e-05
466, 0.01662, 0.001498, 9.2e-05
467, 0.016999, 0.001507, 9.1e-05
468, 0.016444, 0.001502, 9.5e-05
469, 0.016671, 0.001509, 9.1e-05
470, 0.016524, 0.00154, 9.4e-05
471, 0.016611, 0.001508, 9.9e-05
472, 0.016605, 0.001498, 9.4e-05
473, 0.016616, 0.0015, 8.9e-05
474, 0.016914, 0.001516, 9.4e-05
475, 0.016406, 0.001502, 9e-05
476, 0.016637, 0.001496, 9.4e-05
477, 0.016617, 0.0015, 8.9e-05
478, 0.016764, 0.001496, 9.1e-05
479, 0.016618, 0.00152, 0.000113
480, 0.016945, 0.001508, 9.3e-05
481, 0.016593, 0.001733, 9.6e-05
482, 0.016571, 0.001499, 9.4e-05
483, 0.016432, 0.001646, 9.3e-05
484, 0.016752, 0.001504, 9.3e-05
485, 0.016482, 0.0015, 8.8e-05
486, 0.016783, 0.001506, 9.7e-05
487, 0.016757, 0.001502, 9e-05
488, 0.01641, 0.001502, 9.2e-05
489, 0.016561, 0.001507, 9.5e-05
490, 0.016734, 0.001513, 9.4e-05
491, 0.016735, 0.00151, 9e-05
492, 0.016613, 0.00151, 0.000109
493, 0.016688, 0.001505, 9.1e-05
494, 0.016773, 0.00151, 9.6e-05
495, 0.016414, 0.001509, 9e-05
496, 0.01658, 0.001503, 9.3e-05
497, 0.016568, 0.001503, 9e-05
498, 0.016664, 0.0015, 9.4e-05
499, 0.016896, 0.001504, 8.8e-05
500, 0.016617, 0.001518, 9.6e-05
501, 0.016423, 0.001508, 9.6e-05
502, 0.016732, 0.00155, 9.4e-05
503, 0.016643, 0.001551, 8.9e-05
504, 0.016677, 0.001513, 9.4e-05
505, 0.016739, 0.001508, 9.1e-05
506, 0.016884, 0.001501, 9.3e-05
507, 0.016327, 0.001506, 9.1e-05
508, 0.016462, 0.001498, 9.4e-05
509, 0.016877, 0.001507, 9.2e-05
510, 0.016481, 0.001518, 9.3e-05
511, 0.016681, 0.001507, 9.1e-05
512, 0.01656, 0.001502, 9.4e-05
513, 0.016796, 0.001496, 0.000111
